Gitanjali convent,Nand shyam B\168 p.c colony kankerbagh patna,800020,School
Happy Child School/residential (branch 2),"G 41, PC Colony, Kankerbagh Patna",800020,
Happy Child School/residential,G-1 p.c.colony kankerbagh patna rajni path (branch Office),800020,
Doon Academy ,"G-2,Oppisite, Sri Ram Hosptal, K.Bagh Patna-20",800020,
M.R.G Centeral School ,"G-21,Pc Colony ,K.Bagh Patna-20 ",800020,
Adhyan foundation,A\167.p.c.colony kankerbagh patna ,800020,NGO School
South Point School ,"A-113,Pc Colony,K.Bagh Patna-20",800020,
Achivement Centeral School,"Jagan Pura, Bypass, Opp Central School P-20",800020,School
J.N.Girls High School,"New Jagan Pura,Near Patna Central School, Patna (across New Bypass)",0,
Patna Central,"Near Bypass, K.Bagh Patna-20",800020,
New Progressive Academy (School),"Lalu Path, Sohrang Pur Road,RamKrishna nagar,Near,LP Shahi College",800027,
Baby Brilliant High School,"Sanjay Nagar,Main Road Patna (near new Pass)",800001,
Patna Loretto Academy,"Milan Lane, PC Colony, K.Bagh Patna-20 ",800020,
S.K. Vidaya Vihar,"A-41,Pc Colony,K.Bagh Patna-20",800020,
Saraswati vidya niketan high school,Near sing bajaj show room kankerbagh (near Colny)patna,800020,School
Satsang BalShiksha Sansthan,"Satsang, K.Bagh,Patna (Near Tempo Stand - behind Shivaji PArk, Kankerbagh, Patna",800020,
Residesial Kids World Academy/ Residential Radient Public School,"MIG 253, Lohia Nagar, Kankerbagh (Satsang Road)",800020,
St. Anthony Acadmy,"M.I.G-271,K.Bagh,Patna (satsang Road)",800020,
Sanjay Gandhi Balika High School,"M.I.G-330,Lohiya Nagar K.Bagh Patna (near Shivaji Park Road)",800020,
Createve Cottage Gurukul,"Gang Gotri complex Rainbow field,Patna",800020,
S.S.P.International convent,"Defence Colony-215,Ashok Nagar,KankarBagh",800020,School
