Royal Convent High School,Nur.,7,"Ram Nagar Road, Chiriyatard G.P.O. Patna",800001,English,Unecognised,Private unaided,Low Cost
St.Paul Convent,Nur.,6,Ashok Nagar Road No.14 K.Bagh Patna,800020,English,Unecognised,Private unaided,Low Cost
New Era Public School,Nur.,8,"M.I.G.- 237,Lohia Nagar K.Bagh",800020,English,Unecognised,Private unaided,Higher Cost
Bharti Niketan School,Nur.,7,Ashok Nagar Road No.- 14B K.Bagh Patna,800020,English,Unecognised,Private unaided,Affordable
The Indian Public School.,Nur.,8,South R.M.S. Coloney K.Bagh Patna,800020,English,Unecognised,Private unaided,Low Cost
New Doon Kids Paradise School,Nur.,5,Near Postal Park Chouraha Patna,800001,English,Unecognised,Private unaided,Low Cost
R.N.S. Public High School,Nur.,8,Postal Park Indira Nagar Patna,800001,English,Unecognised,Private unaided,Low Cost
D.A.V. Public Residential High School,Nur.,7,Postal Park  Patna,800001,English and Hindi,Unecognised,Private unaided,Low Cost
Devta Public Uchh vidyalaya,1,10,West Boring Canal Road Rajapul behind BRJP office,800001,Hindi,Recognised,Private unaided,Low Cost
R.L accademy ,1,10,Buddha Coloney Patna,800001,English and Hindi,Unecognised,Private unaided,Low Cost
